0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
21240,9791,32058,32050,9799,32045,32042,32034,9826,9828,9849,32012,9859,32070,9864,9869,31969,9872,31963,9876,9883,31955,9890,9917,9924,31918,31917,31985,9783,9782,32072,32355,9574,9578,9584,9594,9599,32308,9624,32282,9636,9668,32216,32194,9685,32181,9704,9705,9726,32153
6071,40092,37965,35026,22733,6102,25387,15638,37388,6101,26872,27277,23122,23723,41659,32667,2178,16112,16478,25196,34295,29476,18532,19708,5621,37942,34654,6599,7880,4481,31231,12886,24883,35149,5713,28316,35611,17867,30691,15632,30174,5699,40112,18503,37229,846,36295,16013,10918,33186
37153,27077,23887,6824,7803,4770,23362,12003,23904,7629,33760,7933,5586,1651,30036,8004,31342,33782,21479,25049,28248,13147,5652,41768,14952,33129,28062,20002,360,9197,37780,40866,27504,33563,12981,12976,17245,27470,19595,1083,33665,27403,22735,13065,13088,33703,33743,27332,7423,7419
21240,13464,13463,28886,28887,13460,28894,13455,13453,28903,28908,28918,13441,28925,28943,13435,13433,13432,28946,13429,13427,28947,28948,28949,28955,28957,28961,13417,28964,28965,13465,28885,28878,13469,28755,28759,13557,13556,28769,13547,28780,28789,13535,13533,13524,28805,28809,28822,28970,13516
26785,13285,543,30897,26143,34346,20516,16495,339,25591,10326,26058,6510,35903,13170,6730,35978,35938,1540,19675,35799,13400,13401,13440,35666,35607,27936,13462,36001,36004,19826,36007,27455,12760,36401,36376,36268,12899,12908,19959,36231,3411,19906,36212,36184,13088,6753,13099,36131,1472
21240,24571,24574,24577,24579,24581,24583,24589,24591,24592,24594,24603,24567,24604,24614,24628,24630,24631,24636,24641,24650,24664,24670,24675,24684,24605,24566,24565,24564,24501,24503,24506,24510,24511,24512,24513,24517,24518,24526,24527,24531,24532,24533,24534,24536,24546,24547,24550,24551,24552
35417,31972,29349,2225,31039,17700,16672,20543,26620,1068,4232,23797,33752,14566,10159,6223,26162,7521,17801,30484,26184,23916,28885,22606,5435,11147,7399,31926,24562,37047,13505,37074,2996,31735,35745,7212,358,36819,37183,13157,20538,25839,37227,24694,17981,30999,8452,12497,12616,13761
33850,39056,35224,23320,4523,1037,23321,3472,16692,27839,31389,39111,27804,4548,16744,8087,12955,39177,20178,27783,20154,31459,39262,6971,2346,12863,16809,31479,39307,9300,9303,4552,4583,35240,38981,6114,20494,22928,38605,35546,9067,2196,6869,22996,3549,13445,9102,38691,38698,35277
12039,5395,28734,5406,28729,9821,28719,5414,28714,17635,28700,28688,28681,17658,17661,28657,17675,5449,17688,17689,17697,28601,17709,9793,28740,9791,9826,5380,17483,28943,28908,28903,28894,28885,17498,28868,9852,17520,17546,5337,28832,17555,5350,28824,5353,17610,17611,17612,28769,28768
20197,19938,4174,23729,36443,10483,39412,7423,8763,39392,36485,31004,8738,12072,26606,16431,10516,26665,30948,26741,30944,23581,16133,8809,39566,20059,26818,7362,4155,16237,16244,16247,26800,12152,33415,16292,4166,33408,1287,16112,19858,36510,16775,39151,23919,19678,36660,16840,39014,39165
25870,28768,38774,23795,38733,1833,14333,17021,38698,23867,9917,15644,33793,4570,15659,7328,38636,18457,33805,33831,17005,38596,14312,28674,28787,15638,38821,23503,39039,11932,10092,19949,17169,39014,33505,11940,1690,19924,23581,10060,15609,14366,1721,33559,17164,33567,23667,11980,11986,28894
40595,15149,27213,8684,28264,5480,2985,21162,26164,36911,3462,30616,14024,12470,14550,18027,11671,14807,31390,32587,25353,38841,31444,36856,34418,10023,8317,2315,40958,22148,9278,5524,17925,9329,15819,28203,10045,30082,24732,36117,31667,10133,23309,34268,27694,10905,5363,26364,24518,10692
21240,24560,24571,24583,24648,24655,24689,24759,24794,24800,24819,24860,24865,24890,4930,24554,24909,24945,24961,24993,4896,25030,25039,25045,4887,25059,25062,25083,4870,25118,25144,24920,24536,24513,24503,23827,23830,23834,23887,23904,23984,24006,5184,5172,24096,5167,24101,24131,24153,24211
16583,15638,30393,33063,16431,24308,10333,18533,24718,29231,405,20105,15282,10253,20128,15609,21928,1833,34550,38059,39014,13576,13788,3785,16840,26963,24571,29946,20323,19056,27811,6037,38193,14232,27975,7090,8763,24943,11307,1905,29457,35436,25142,11334,27012,11595,17635,4770,35632,11161
21240,23668,23671,23677,23678,23679,23682,23684,23686,23691,23693,23697,23703,23706,23708,23709,23710,23715,23717,23723,23725,23730,23667,23732,23644,23637,23532,23539,23545,23554,23555,23567,23570,23573,23576,23577,23581,23582,23584,23596,23597,23605,23608,23611,23624,23625,23631,23641,23734,23739
2,26551,26555,26558,26561,26563,26568,26571,26572,26574,26575,26576,26578,26581,26582,26583,26584,26589,26590,26592,26596,26597,26598,26599,26600,26603,26604,26606,26608,26614,26549,26548,26545,26543,26470,26472,26474,26477,26483,26486,26488,26489,26490,26494,26495,26498,26499,26502,26616,26503
27171,27336,29991,16696,41344,25433,23332,38475,38517,12336,20031,38625,20092,8138,26026,16273,2226,12210,8297,8369,1123,8061,16522,29461,3985,8672,34402,34415,19398,19345,26704,26727,8873,37793,8305,8033,20275,16855,39232,33572,15997,1230,25479,25443,16005,15805,15747,25393,33381,33375
